iter	Passed	Remaining
1241	25126	76025
1242	25141	75990
1243	25156	75953
1244	25176	75932
1245	25190	75896
1246	25206	75861
1247	25227	75843
1248	25243	75812
1249	25258	75775
1250	25279	75756
1251	25296	75728
1252	25311	75691
1253	25327	75659
1254	25344	75630
1255	25361	75599
1256	25378	75570
1257	25393	75534
1258	25410	75504
1259	25429	75481
1260	25445	75449
1261	25461	75415
1262	25478	75386
1263	25492	75347
1264	25508	75316
1265	25526	75288
1266	25541	75254
1267	25556	75217
1268	25576	75197
1269	25596	75177
1270	25614	75150
1271	25633	75127
1272	25651	75100
1273	25668	75069
1274	25684	75038
1275	25697	74998
1276	25714	74969
1277	25732	74942
1278	25746	74905
1279	25762	74872
1280	25781	74847
1281	25795	74811
1282	25817	74795
1283	25833	74765
1284	25851	74739
1285	25870	74715
1286	25887	74686
1287	25902	74649
1288	25920	74623
1289	25937	74596
1290	25955	74569
1291	25974	74546
1292	25989	74510
1293	26003	74474
1294	26024	74457
1295	26040	74425
1296	26055	74389
1297	26072	74361
1298	26088	74329
1299	26104	74298
1300	26130	74293
1301	26144	74258
1302	26163	74234
1303	26180	74205
1304	26195	74170
1305	26211	74139
1306	26229	74113
1307	26245	74081
1308	26264	74056
1309	26280	74027
1310	26295	73991
1311	26312	73964
1312	26329	73936
1313	26344	73901
1314	26366	73885
1315	26382	73854
1316	26399	73825
1317	26418	73802
1318	26434	73771
1319	26450	73742
1320	26467	73712
1321	26482	73678
1322	26498	73648
1323	26518	73626
1324	26535	73598
1325	26554	73575
1326	26570	73544
1327	26585	73510
1328	26599	73475
1329	26621	73460
1330	26639	73432
1331	26657	73408
1332	26675	73382
1333	26690	73348
1334	26706	73317
1335	26727	73301
1336	26743	73268
1337	26760	73240
1338	26778	73215
1339	26793	73182
1340	26810	73153
1341	26826	73123
1342	26842	73091
1343	26859	73064
1344	26875	73032
1345	26889	72996
1346	26907	72971
1347	26921	72936
1348	26940	72912
1349	26960	72893
1350	26976	72862
1351	26993	72833
1352	27010	72807
1353	27026	72777
1354	27042	72746
1355	27061	72722
1356	27078	72694
1357	27095	72666
1358	27112	72638
1359	27137	72633
1360	27153	72603
1361	27174	72585
1362	27192	72558
1363	27211	72537
1364	27225	72502
1365	27241	72470
1366	27257	72441
1367	27274	72413
1368	27293	72391
1369	27313	72370
1370	27327	72335
1371	27342	72301
1372	27358	72272
1373	27376	72245
1374	27391	72213
1375	27406	72181
1376	27422	72149
1377	27437	72118
1378	27455	72093
1379	27470	72060
1380	27485	72026
1381	27502	71999
1382	27518	71971
1383	27535	71941
1384	27552	71916
1385	27572	71896
1386	27587	71861
1387	27603	71833
1388	27621	71808
1389	27639	71782
1390	27654	71751
1391	27672	71726
1392	27688	71695
1393	27705	71668
1394	27722	71640
1395	27736	71605
1396	27755	71583
1397	27770	71551
1398	27787	71524
1399	27805	71501
1400	27820	71467
1401	27836	71436
1402	27852	71409
1403	27870	71382
1404	27886	71353
1405	27903	71327
1406	27919	71297
1407	27934	71265
1408	27953	71241
1409	27968	71211
1410	27983	71177
1411	28001	71154
1412	28016	71122
1413	28031	71090
1414	28052	71071
1415	28068	71043
1416	28083	71011
1417	28099	70982
1418	28118	70960
1419	28137	70938
1420	28155	70913
1421	28172	70887
1422	28186	70852
1423	28204	70827
1424	28221	70800
1425	28237	70772
1426	28255	70748
1427	28270	70716
1428	28287	70689
1429	28305	70664
1430	28320	70632
1431	28335	70601
1432	28351	70573
1433	28368	70545
1434	28382	70512
1435	28399	70483
1436	28414	70451
1437	28431	70427
1438	28449	70402
1439	28467	70377
1440	28481	70342
1441	28498	70316
1442	28523	70310
1443	28545	70295
1444	28566	70278
1445	28587	70261
1446	28610	70250
1447	28636	70247
1448	28659	70235
1449	28680	70217
1450	28704	70208
1451	28729	70200
1452	28753	70190
1453	28778	70183
1454	28803	70177
1455	28828	70171
1456	28851	70158
1457	28876	70150
1458	28902	70146
1459	28930	70146
1460	28960	70151
1461	28992	70160
1462	29016	70150
1463	29044	70150
1464	29067	70138
1465	29100	70150
1466	29128	70150
1467	29158	70154
1468	29181	70143
1469	29204	70130
1470	29227	70117
1471	29252	70111
1472	29274	70095
1473	29294	70075
1474	29315	70058
1475	29339	70048
1476	29365	70043
1477	29387	70027
1478	29413	70024
1479	29438	70015
1480	29463	70008
1481	29486	69996
1482	29509	69983
1483	29530	69965
1484	29556	69959
1485	29576	69940
1486	29601	69931
1487	29626	69924
1488	29650	69914
1489	29674	69904
1490	29701	69901
1491	29724	69887
1492	29749	69881
1493	29773	69871
1494	29799	69863
1495	29823	69854
1496	29849	69847
1497	29874	69839
1498	29897	69826
1499	29921	69816
1500	29948	69813
1501	29971	69800
1502	29999	69800
1503	30023	69788
1504	30049	69782
1505	30073	69771
1506	30095	69756
1507	30121	69750
1508	30150	69752
1509	30171	69734
1510	30199	69732
1511	30222	69720
1512	30247	69711
1513	30271	69699
1514	30296	69690
1515	30318	69676
1516	30347	69676
1517	30367	69657
1518	30393	69650
1519	30416	69638
1520	30439	69624
1521	30464	69615
1522	30489	69608
1523	30512	69594
1524	30535	69581
1525	30557	69564
1526	30577	69546
1527	30599	69530
1528	30623	69518
1529	30653	69521
1530	30677	69510
1531	30705	69508
1532	30725	69487
1533	30747	69471
1534	30769	69455
1535	30791	69441
1536	30817	69435
1537	30842	69425
1538	30867	69415
1539	30889	69400
1540	30916	69396
1541	30941	69386
1542	30969	69385
1543	30994	69377
1544	31017	69361
1545	31043	69354
1546	31067	69345
1547	31093	69337
1548	31121	69334
1549	31147	69327
1550	31171	69317
1551	31199	69314
1552	31222	69299
1553	31249	69295
1554	31274	69285
1555	31296	69270
1556	31318	69253
1557	31341	69240
1558	31365	69229
1559	31391	69221
1560	31416	69212
1561	31440	69202
1562	31464	69190
1563	31492	69186
1564	31514	69170
1565	31539	69162
1566	31566	69156
1567	31592	69149
1568	31614	69132
1569	31647	69141
1570	31672	69131
1571	31696	69119
1572	31714	69095
1573	31739	69083
1574	31761	69068
1575	31786	69058
1576	31810	69046
1577	31830	69026
1578	31853	69012
1579	31875	68997
1580	31899	68985
1581	31923	68972
1582	31945	68956
1583	31968	68941
1584	31994	68935
1585	32018	68922
1586	32043	68911
1587	32065	68896
1588	32086	68878
1589	32108	68862
1590	32136	68857
1591	32159	68844
1592	32184	68833
1593	32205	68816
1594	32221	68787
1595	32241	68764
1596	32259	68740
1597	32276	68713
1598	32293	68687
1599	32309	68658
1600	32327	68632
1601	32344	68605
1602	32360	68576
1603	32378	68552
1604	32396	68526
1605	32413	68500
1606	32434	68481
1607	32450	68452
1608	32465	68422
1609	32486	68402
1610	32501	68372
1611	32515	68338
1612	32533	68314
1613	32549	68285
1614	32566	68257
1615	32583	68231
1616	32599	68202
1617	32618	68181
1618	32640	68163
1619	32657	68137
1620	32675	68111
1621	32692	68085
1622	32708	68056
1623	32728	68036
1624	32744	68008
1625	32761	67980
1626	32777	67953
1627	32794	67925
1628	32810	67897
1629	32828	67871
1630	32845	67846
1631	32861	67817
1632	32881	67796
1633	32897	67768
1634	32912	67737
1635	32932	67716
1636	32951	67694
1637	32968	67667
1638	32985	67642
1639	33000	67610
1640	33016	67581
1641	33034	67558
1642	33051	67531
1643	33066	67501
1644	33087	67482
1645	33104	67456
1646	33126	67439
1647	33142	67412
1648	33158	67382
1649	33179	67364
1650	33196	67338
1651	33211	67308
1652	33230	67285
1653	33248	67260
1654	33267	67239
1655	33287	67217
1656	33302	67188
1657	33320	67163
1658	33337	67136
1659	33353	67108
1660	33372	67085
1661	33388	67058
1662	33404	67029
1663	33422	67005
1664	33438	66978
1665	33454	66949
1666	33476	66933
1667	33494	66908
